"Nomes","Valor","Cluster"
"Tênis Under Armour Jet 21 Basquete Preto e Grafite - Masculino 39",349.98,2
"Tênis Mizuno Wave Rider 27 Masculino",484.99,2
"Tênis Esportivo Masculino Olimp Para Caminhada Academia Vili",109.9,1
"Tênis Puma Flyer Flex Bdp Masculino",189.99,1
"Tênis Masculino Adidas Coreracer",203.69,1
"Tênis Mizuno Wave Prophecy 13 Masculino",1329.99,3
"Tênis Olympikus Dynamic Masculino",271.59,1
"Tênis Nike Revolution 7 Masculino",284.99,1
"Tênis Sapatênis Masculino Polo Joy Casual Em Lona",94.9,1
"Tênis Mizuno Raijuu 2 Masculino",223.09,1
"Tênis Adidas Advantage Masculino",209.99,1
"Tênis Mizuno Raijuu 2 Masculino",232.79,1
"Combo 2 Tênis Masculino Academia Caminhada Leve + Relógio",129.9,1
"Tênis Adidas Lite Racer 3 0 Masculino",210.52,1
"Tênis Masculino Adidas Runfalcon 3",399.9,2
"Tênis Mizuno Victory Masculino",379.99,2
"Tênis New Balance 500 V'2 Masculino",326.31,2
"Tênis Nike Revolution 7 Masculino",303.99,2
"Tênis Nike Air Max AP Masculino",560.49,2
"Tênis Adidas Advantage Base Masculino",169.99,1
"Tênis Mizuno Space 4 Masculino",320.09,2
"Tênis Puma Cell Divide V2 Bdp Masculino",310.39,2
"Tênis Olympikus Only 2 Masculino",139.99,1
"Tênis Olympikus Dynamic Masculino",271.59,1
"Tênis Infantil Olympikus Maneiro Masculino",199.99,1
"Tênis Olympikus Rua Masculino",239.9,1
"Tênis Couro Democrata Denim Casual Masculino",229.98,1
"Tênis Esportivo Masculino Olimp Para Caminhada Academia Vili",109.9,1
"Tênis Mizuno Wave Creation 24 Masculino",504.39,2
"Tênis Infantil Olympikus Maneiro Masculino",199.99,1
"Sapatenis Masculino Branco Tênis Casual Polo Vili para Dia a Dia",99.9,1
"Tênis Mizuno Wave Creation 24 Masculino",440.99,2
"Tênis Ortopédico Masculino e Feminino Asc Original Calce Fácil",99.99,1
"Tênis Infantil Olympikus Maneiro Masculino",199.99,1
"Tênis Sapatênis Masculino Polo Joy Casual Em Lona",94.9,1
"Tênis Couro Lacoste Graduate Pro Masculino",369.98,2
"Tênis Mizuno Cool Ride 2 Masculino",290.99,1
"Tênis Everlast City 2 Masculino",129.98,1
"Tênis Everlast City 2 Masculino",129.98,1
"Tênis Couro Reserva Hero Masculino",529.98,2
"Tênis Olympikus Jogging 101 Masculino",189.88,1
"Tênis Mizuno Wave Dynasty 5 Masculino",269.99,1
"Tênis New Balance 500 V2 Masculino",389.9,2
"Tênis New Balance 373 V2 Masculino",375.99,2
"Tênis Olympikus Dynamic Masculino",260.99,1
"Sapatenis Masculino Branco Tênis Casual Polo Vili para Dia a Dia",99.9,1
"Tênis de Treino Masculino Under Armour Tribase Reps",399.99,2
"Tênis Masculino Oakley Modoc Low II",309.99,2
"Tênis Olympikus Proof 3 Masculino",199.99,1
"Tênis Mizuno Advance Masculino",417.09,2
"Tênis New Balance 500 V2 Masculino",329.99,2
"Tênis Adventure Botinha Masculino Confortável Cano Baixo Anti-impacto Lançamento",84.06,1
"Tênis Mizuno Wave Frontier 15 Masculino",581.99,2
"Tênis Mizuno Cool Ride 2 Masculino",290.99,1
"Tênis Sapatênis Masculino Polo Joy Casual Em Lona",94.9,1
"Tênis Olympikus Only 2 Masculino",189.99,1
"Tênis Masculino Gel Fitness Amortecimento Moderno Cadarço",123.4,1
"Tênis Olympikus Eros Masculino",189.99,1
"Sapatenis Masculino Branco Tênis Casual Polo Vili para Dia a Dia",99.9,1
"Tênis New Balance 411 V'3 Masculino",290.99,1
"Tênis Olympikus Poseidon Masculino",129.99,1
"Tênis Mizuno Cool Ride 2 Masculino",290.99,1
"Tênis New Balance Fresh Foam Arishi V'4 Masculino",484.99,2
"Tênis Sapatênis Masculino Polo Joy Casual Em Lona",94.9,1
"Tênis Street Ollie Masculino Rocky Conforto",129.99,1
"Tênis Mizuno Space 4 Masculino",320.09,2
"Tênis Masculino em Couro Confortável Casual Basico + Relógio",129.9,1
"Tênis Olympikus Zex 168 Masculino",199.99,1
"Tênis Everlast City 2 Masculino",129.98,1
"Tênis Mizuno Cool Ride Masculino",209.98,1
"Combo 2 Tênis Masculino Academia Caminhada Leve + Relógio",129.9,1
"Tênis Reebok Nfx Trainer Masculino",341.99,2
"Tênis Couro Democrata Denim Jake Masculino",254.3,1
"Tênis New Balance 500 V2 Masculino",288.88,1
"Tênis Coturno Cano Baixo Masculino Costura Reforçada Tratorado Trilha Segurança",84.06,1
"Tênis Couro Reserva Astral Masculino",309.99,2
"Kit 2 Pares Tênis Esportivo Masculino Para Academia Caminhada Leve Confortável + Relógio Digital",149.9,1
"Tênis de Basquete Masculino Under Armour Buzzer SE",349.99,2
"Tênis Esportivo Masculino Olimp Para Caminhada Academia Vili",109.9,1
"Tênis Masculino Esporte Cadarço Academia Corrida Dia a Dia",69.9,1
"Tênis New Balance 515 V'2 Masculino",369.98,2
"Tênis Olympikus Wellness Masculino",218.49,1
"Sapatênis Tênis Slip-On Masculino Bardone Calce Fácil",119.9,1
"Tênis Street Ollie Masculino Start Conforto",109.99,1
"Tênis Mizuno Wave Prophecy 13 Masculino",1329.99,3
"Kit 2 Tênis Esportivo Masculino Cadarço Academia Fitness",135.28,1
"Tênis Mizuno Space 4 Masculino",320.09,2
"Tênis New Balance Fuelcell Propel V4 Masculino",611.09,2
"Tênis Masculino Esporte Cadarço Academia Corrida Dia a Dia",69.9,1
"Tênis Olympikus Proof 3 Masculino",199.99,1
"Tênis de Basquete Masculino Under Armour Buzzer SE",349.98,2
"Tênis Olympikus Mood Masculino",129.9,1
"Tênis Puma Flyer Flex Bdp Masculino",255.1,1
"Tênis Masculino Caminhada Academia Treino Cross Lançamento",109.65,1
"Tênis Olympikus Volcan Masculino",139.99,1
"Tênis Masculino em Couro Confortável Casual Basico + Relógio",129.9,1
"Tênis Olympikus Luminus Masculino",169.99,1
"Tênis Masculino Mizuno Wave Prophecy 13",1499.99,3
"Tênis Mizuno Action 3 Masculino",399.99,2
"Tênis Mizuno Wave Tornamic 3 Masculino",319.99,2
"Tênis Everlast Bronx Masculino",161.49,1
"Coturno Bota Tênis Masculino Adventure Casual Adulto e Infantil Tratorada",144.99,1
"Tênis Mizuno Wave Prophecy 13 Masculino",1329.99,3
"Tenis Masculino Infantil Casual Air Kids Nid Feet Lançamento",79.9,1
"Tênis Street Ollie Masculino Rocky Conforto",129.99,1
"Sapatênis Tênis Slip-On Masculino Bardone Calce Fácil",119.9,1
"Tênis Mizuno Victory Masculino",379.99,2
"Tênis Olympikus Rua Masculino",242.49,1
"Tênis Masculino Under Armour Charged Beat",249.99,1
"Tênis Puma Caven 2.0 Bdp Masculino",399.9,2
"Tênis Olympikus Versa Masculino",246.99,1
"Tênis Masculino Corrida Advanced RUN Academia Professional Ultra Leve",119.9,1
"Slip On Tênis Masculino Calce Fácil Lona Polo Joy Casual",82.89,1
"Tênis Mizuno Wave Creation 24 Wk Masculino",599.99,2
"Tênis Lacoste Europa Pro Masculino",309.99,2
"Tênis Everlast Venus Masculino",109.99,1
"Tênis Sapatênis Masculino Polo Joy Casual Em Lona",94.9,1
"Tênis BF Shoes Esportivo Olimp Masculino",79.9,1
"Tênis Masculino Cano Alto Bico Redondo Fitness Treino",180.4,1
"Tênis Olympikus Noventa Masculino",210.67,1
"Tênis Mizuno Wave Endeavor 2 Masculino",484.99,2
"Tênis Couro Democrata Denim Block Masculino",284.9,1
"Tênis Lacoste Gripshot Vulcanized Sneakers Masculino",299.99,2
"Coturno Bota Tênis Masculino Adventure Casual Adulto e Infantil Tratorada",144,1
"Sapatenis Masculino Branco Tênis Casual Polo Para Dia a Dia",88.02,1
"Tênis Couro Democrata Denim Dave Masculino",229.98,1
"Tênis Everlast Kromus III Masculino",159.99,1
"Tênis Skechers Go Walk Max Clinched Masculino",237.49,1
"Tênis Olympikus Index 3 Masculino",189.99,1
"Tênis New Balance 520 V'8 Masculino",387.99,2
"Tênis Reebok Speed 22 Tr Masculino",339.49,2
"Tênis New Balance 373 V2 Masculino",409.99,2
"Tênis Infantil Masculino Menino Esporte Escolar - Tênis Style Boys",89,1
"Tênis Olympikus Cygnus Masculino",159.9,1
"Kit 3 Pares Tênis Casual Masculino Polo Blu Conforto Macio",211.99,1
"Sapatênis Masculino Tênis Casual Em Couro Legitimo Confortável",124.9,1
"Tênis Masculino Caminhada Academia Treino Cross Lançamento",118.91,1
"Tênis Sapatênis Casual Masculino Couro Comfort",213.66,1
"Tênis Mizuno Wave Superfast Masculino",379.99,2
"Tenis Masculino Para Caminhada Corrida Ultra Ortopedico Leve",77.39,1
"Tênis Puma Caven 2.0 Bdp Masculino",379.99,2
"Tênis Masculino Para Academia 33Y Caminhada Confortável Macio Leve",69.99,1
"Tênis Mizuno Wave Rider 27 Masculino",824.49,3
"Tênis Reserva Infinity Masculino",419.98,2
"Tênis Under Armour Basket Buzzer Branco e Verde - Masculino",349.98,2
"Sapatenis Tênis Sapato Polo Vili Masculino Confortável",109.9,1
"Tênis Mizuno Wave Creation 24 Masculino",569.99,2
"Tênis Nike Downshifter 13 Masculino",303.99,2
"Tênis Puma Caven 2.0 Bdp Masculino",289.98,1
"Slip On Tênis Masculino Calce Fácil Lona Polo Joy Casual",82.89,1
"Tênis Masculino Esporte Cadarço Academia Corrida Dia a Dia",69.9,1
"Combo 2 Tênis Masculino Academia Caminhada Leve + Relógio",129.9,1
"Tênis Street Ollie Masculino Rocky Conforto",129.99,1
"Kit 2 pares de Tênis Masculino Sapatenis Casual da Polo Vili",199.98,1
"Tênis de Corrida Masculino Under Armour Charged Wing SE",289.8,1
"Tênis Reebok Royal Complete Sport Masculino",249.9,1
"Tênis Mizuno Wave Titan 3 Masculino",271.59,1
"Sapatenis Masculino Branco Tênis Casual Polo Para Dia a Dia",88.02,1
"Tênis Sapatênis Masculino Polo Joy Casual Em Lona",94.9,1
"Tênis Mizuno Wave Prophecy 13 Masculino",1329.99,3
"Tênis Nike Air Max Excee Masculino",550.99,2
"Tênis Olympikus Zex 168 Masculino",229.9,1
"Tênis Masculino em Couro Confortável Casual Basico + Relógio",129.9,1
"Kit 3 Tênis Esportivo Masculino Cadarço Academia Fitness",184.9,1
"Tênis Masculino Esporte Cadarço Academia Corrida Dia a Dia",69.9,1
"Tênis Skechers Max Cushioning Delta Relief Masculino",528.64,2
"Tênis Masculino Slip On Conforto Calce Fácil Treino Leve",72.1,1
"Tênis Couro Democrata Denim Dave Masculino",199.99,1
"Tênis Puma Smash V2 Masculino - 367147-01",279.9,1
"Tênis Olympikus Vertical Masculino",239.9,1
"Tênis Couro Democrata Shift Masculino",208.99,1
"Tênis Asics Gel-Sonoma 7 Masculino",549.9,2
"Tênis Olympikus Index 3 Masculino",179.55,1
"Tênis Fila Classic Runner Sl Masculino",299.15,2
"Tênis Mizuno Wave Prophecy 12 S Masculino",849.99,3
"Tênis Asics Dynablast 3 Masculino",484.99,2
"Tênis Mizuno Wave Fujin Masculino",271.59,1
"Tênis Mizuno Wave Prophecy 12 S Masculino",824.49,3
"Tênis Fila Racer Wings Masculino",242.19,1
"Tênis Olympikus Dynamic Masculino",237.49,1
"Tênis Reebok Speed 22 Tr Masculino",339.49,2
"Tênis Couro Reserva Hero Masculino",509.98,2
"Tênis Couro Democrata Denin Drake Pulse Masculino",379.9,2
"Tênis Rainha Play III Masculino",161.19,1
"Tênis Mizuno Wave Way 3 Masculino",360.9,2
"Tênis Rainha Iate III Masculino",136.83,1
"Tênis Sapatênis Masculino Polo Joy Casual Em Lona",94.9,1
"Tênis Asics Japan S Masculino",389.9,2
"Tênis Puma Flyer Runner Mesh Bdp Masculino",199.99,1
"Tênis Oakley Masculino Flak 365 II",549.88,2
"Tênis Fila Fire Masculino",203.69,1
"Tênis Under Armour Basket Dagger Cinza e Preto - Masculino - 40 - Cinza",349.98,2
"Tênis Fila Racer Wings Masculino",179.99,1
"Tênis Casual Masculino Infantil Juvenil Menino na Cor  com Meia e Relógio Digital do 27 ao 36",84.91,1
"Tênis Mizuno Wave Mirai 5 Masculino",299.99,2
"Tênis Olympikus Poseidon Masculino",129.99,1
"Tênis Reserva Infinity Masculino",419.98,2
"Tênis Oakley Masculino Halftrack Low II",579.88,2
"Tênis Flatform Amortecimento Air Masculino Conforto Leveza",99.9,1
"Tênis Oakley Mod Navigate Masculino",349.98,2
"Tênis Puma Caven 2.0 Bdp Masculino",289.98,1
"Tênis Masculino Adidas Grand Court Base",219.99,1
"Tênis New Balance 480 Low Masculino",329.99,2
"Tênis Cano Alto Skechers Bionic Trail Flashpoint Masculino",446.19,2
"Sapatênis Masculino Polo Plus Tênis Casual Cano Baixo Macio",118.9,1
"Tênis Masculino Adidas Grand Court Base",209.99,1
"Tênis Olympikus Volcan Masculino",139.99,1
"Tenis Qix Am Cup Sole Series Masculino Skate Original Feminino",259.9,1
"Tênis Asics Gel-Sparta 2 Masculino",368.88,2
"Slip On Tênis Masculino Calce Fácil Lona Polo Joy Casual",82.89,1
"Tênis Redley Originals Colors Masculino",219.9,1
"Tênis Asics Versablast 2 Se Masculino",339.9,2
"Tênis Fila Float Maxxi 2 Masculino",629.1,2
"Tênis Asics Gel-Pulse 15 Se Masculino",645.88,2
"Tênis Mizuno Wave Endeavor 2 Masculino",484.99,2
"Tênis Olympikus Only 2 Masculino",139.99,1
"Tênis Nike Court Vapor Lite 2 HC Masculino",417.99,2
"Tênis Masculino Original Action Flex Ultra Conforto Leve Fit Max Lig Shoes",99.71,1
"Tênis Mizuno Wave Endeavor 2 Masculino",484.99,2
"Tênis Adidas Grand Court 2.0 Masculino",279.99,1
"Tênis Fila Float Fenix Masculino",303.81,2
"Tênis Skechers Go Run Fast-Quake Masculino",349.9,2
"Tênis Adidas Park Street Masculino",289.98,1
"Tênis Mizuno Masculino Jet 6 Corrida",206.82,1
"Tênis Fila Float Soma Masculino",404.19,2
"Tênis Puma Haste SL Bdp Masculino",223.09,1
"Tênis Oakley Halftrack Low II Masculino",599.9,2
"Tênis Under Armour Basquete Buzzer Masculino - Azul e Verde",314.98,2
"Tênis Puma Flyer Flex Bdp Masculino",232.79,1
"Tênis Fila Select Masculino",279.9,1
"Tênis Infantil Molekinho Masculino",54.99,1
"Tênis Asics Gel-Equation 13 Masculino",339.99,2
"Tênis Couro Lacoste T-Clip Masculino",449.98,2
"Slip On Tênis Masculino Calce Fácil Lona Polo Joy Casual",82.89,1
"Tênis Fila KR6 Masculino",349.99,2
"Tênis Olympikus Urbano Ast Masculino",169.99,1
"Tênis Asics Gel-Rocket 11 Masculino",469.9,2
"Tênis Olympikus Versa Masculino",179.98,1
"Tênis Mizuno Action 3 Masculino",387.99,2
"Tênis Mizuno Cool Ride 2 Masculino",368.59,2
"Tênis New Balance Fresh Foam X 1080 V13 Masculino",1199.99,3
"Tênis Adidas Response Runner",203.69,1
"Tênis Olympikus Marte Masculino",189.99,1
"Tênis Asics Masculino Jolt 4 Corrida",274.88,1
"Tênis Asics Fuzeblast Se Masculino",398.9,2
"Tênis Fila Float Prime Masculino",239.9,1
"Tênis Fila Trend 3.0 Masculino",290.99,1
"Tênis Mizuno Wave Nitron 2 Masculino",339.99,2
"Tênis Infantil Kappa Speed Masculino",64.99,1
"Tênis Fila Racer Carbon Masculino",899,3
"Tênis Oakley Halftrack Low II Masculino",599.88,2
"Tênis Adidas Ultrabounce Run Masculino",499.14,2
"Tênis Street Ollie Masculino Monster Conforto",109.99,1
"Tênis Mizuno Wave Stratos Masculino",649.9,2
"Tênis Puma Caven 2.0 Bdp Masculino",299.99,2
"Tênis Olympikus Luminus Masculino",169.99,1
"Tênis Mizuno Victory Masculino",349.98,2
"Tênis Masculino Asics Gel-Excite 10",446.19,2
"Tênis Couro New Balance 237 Masculino",389.99,2
"Tênis de Basquete Masculino Under Armour Buzzer SE",349.99,2
"Tênis Nike Court Lite 4 Masculino",455.99,2
"Tênis New Balance 574 Masculino",399.98,2
"Tênis Fila KR6 Masculino",379.99,2
"Tenis Mormaii Urban Free Original Skate Casual Masculino",154.9,1
"Tênis Olympikus Vertical Masculino",214.9,1
"Tênis Asics Gel-Quantum 360 CTW Masculino",683.04,2
"Tênis Asics Gel-Meteora Masculino",465.59,2
"Tenis Mormaii Urban Smash Original Skate Casual Masculino",164.9,1
"Tênis Olympikus Sonoro 2 Masculino",249.89,1
"Tênis Olympikus Delta Masculino",129.99,1
"Slip On Tênis Masculino Calce Fácil Lona Polo Joy Casual",82.89,1
"Tênis New Balance 520 V'8 Masculino",271.59,1
"Tênis Mizuno Wave Falcon 5 Masculino",299.9,2
"Tênis Mizuno Jet 6 Masculino",184.9,1
"Tênis Everlast Star Masculino",139.99,1
"Tênis Mizuno Wave Inspire 20 Masculino",899.99,3
"Tênis Everlast Racer Masculino",139.99,1
"Tênis Olympikus Day",223.09,1
"Tênis Fila Racer T2 S Masculino",339.49,2
"Tênis de Corrida Masculino Mizuno Wave Mirai 5",269.99,1
"Tênis New Balance Kaiha Road Masculino",449.9,2
"Tênis Asics Gel-Pacemaker 4 Masculino",281.29,1
"Tênis Olympikus Only 2 Masculino",189.99,1
"Tênis Olympikus Soma Masculino",199.99,1
"Tênis Fila Float Maxxi Masculino",459.9,2
"Tênis Masculino Esportivo Caminhada Academia Corrida Musculação",110.52,1
"Tênis Under Armour Basquete Buzzer",279.99,1
"Tênis Mizuno Wave Superfast Masculino",319.99,2
"Tênis Adidas Indoor Ligra 7 Masculino",474.99,2
"Tênis Adidas Ozelle Masculino",512.91,2
"Tênis Nike Revolution 7 Masculino",303.99,2
"Tênis Oakley Mod River Masculino",229.98,1
"Tênis Asics Gel-Quantum 360 Direction Masculino",719.91,3
"Tênis Nike Metcon 9 Masculino",921.49,3
"Tênis Asics Gel-Dedicate 8 Clay Saibro Masculino",508.63,2
"Tênis New Balance 515 V'2 Masculino",309.99,2
"Tênis Asics Gel-Trabuco Terra 2 Masculino",484.99,2
"Tênis Adidas Advantage Masculino",209.99,1
"Tênis Puma Flyer Flex Bdp Masculino",232.79,1
"Tênis Olympikus Triunfo 2 Masculino",213.65,1
"Tênis de Corrida Masculino Under Armour Charged Skyline 3 SE",379.9,2
"Tênis Hoka One One Rincon 3 Masculino",999.99,3
"Tênis Fila Racer T2 S Masculino",349.99,2
"Tênis Asics Gel-Rocket 11 Masculino",403.99,2
"Tênis Sapatênis Masculino Polo Joy Casual Em Lona",94.9,1
"Tênis Mizuno Hawk 5 Masculino",305.8,2
"Tênis Adidas Advantage Base Court Lifestyle Masculino",189.99,1
"Tênis Reserva Casual Masculino",279.99,1
"Tênis New Balance Fresh Foam X 1080 V13 /Branco Masculino",1199.9,3
"Tênis Olympikus Marez Masculino",213.39,1
"Tênis Mizuno Wave Legend 2 Masculino",419.74,2
"Tênis New Balance Masculino Kaiha Road",505.21,2
"Tênis Olympikus Cyber 3 Masculino",166.64,1
"Tênis New Balance 500 V'2 Masculino",326.31,2
"Slip On Tênis Masculino Calce Fácil Lona Casual Polo Joy",82.89,1
"Tênis Infantil Skechers Comfy Flex Mini Trainer Masculino",139.99,1
"Tênis New Balance Fresh Foam X 1080 V13 Masculino",1199.99,3
"Tênis Puma Flyer Flex Bdp Masculino",242.49,1
"Tênis Adidas Alphabounce Masculino",549.9,2
"Tênis Adidas Breaknet Masculino",199.99,1
"Tênis Adidas Own The Game 2.0 Masculino",469.2,2
"Tênis Mizuno Wave Legend 2 Masculino",415.88,2
"Tênis Adidas Lite Racer CLN 2.0 Masculino",299.99,2
"Tênis Masulino C Dm Damando Casual Masculino",112.41,1
"Tênis Oakley Mod Graphitte Masculino",179.99,1
"Tênis Mizuno Wave Nitron 2 Double Jacquard Mesh Masculino",309.99,2
"Tênis Infantil Olympikus Maneiro Masculino",199.99,1
"Tênis Fila Classic Runner Sl Masculino",299.99,2
"Tênis Fila Float Fenix Masculino",223.09,1
"Tênis Mizuno Wave Zest Masculino",242.49,1
"Tênis Fila Retro Flag Masculino",265.99,1
"Tênis Asics Dynablast 3 Masculino",699.8,3
"Tênis Redley Latex Originals Cano Médio Masculino",239.9,1
"Tênis Adidas Lite Racer 3 0 Masculino",299.99,2
"Tênis Olympikus Poseidon Masculino",168.88,1
"Tênis Couro Democrata Denim Jake Masculino",242.88,1
"Tênis Lacoste Europa Pro Masculino",329.99,2
"Tênis Fila Efecto Masculino",290.99,1
"Tênis Adidas Indoor Ligra 7 Masculino",474.99,2
"Tênis Colcci Praia Marrom Caramelo - Masculino",189.99,1
"Tênis Asics Gel Equation 12 Masculino",229.99,1
"Tênis Olympikus Eros Masculino",189.99,1
"Tênis Sapatênis Masculino Polo Joy Casual Em Lona",94.35,1
"Tênis Olympikus Index 3 Masculino",189.99,1
"Tênis Asics Gel-Cumulus 25 Masculino",899,3
"Tênis Under Armour Tribase Cross Masculino - Coral",423.99,2
"Tênis Masculino Para Academia 33Y Caminhada Confortável Macio Leve",69.99,1
"Tênis Fila Float Knit Masculino",549.9,2
"Tênis Nike Court Royale 2 Next Nature Masculino",379.99,2
"Tênis New Balance Fresh Foam X 1080 Unlaced Masculino",494.69,2
"Tênis Coturno Adventure Masculino Confortável Esportivo Dia a Dia Lançamento",119.61,1
"Tênis Asics Gel Quantum 180 Fly Masculino",419.98,2
"Kit 2 Tênis Esportivo Masculino Cadarço Academia Fitness",135.28,1
"Tênis Asics Gel-Pacemaker 4 Masculino",339.49,2
"Tênis Mizuno Wave Frontier 15 Branco Preto 42 Masculino",549.99,2
"Tênis Asics Gt-1000 12 Masculino",475.29,2
"Tênis Infantil Kappa Circle Masculino",84.99,1
"Tênis Asics Gel-Meteora Masculino",479.9,2
"Tênis Adidas Supernova Rise Masculino",899.99,3
"Tênis Masculino Asics Gel-Excite 10",459,2
"Tênis Under Armour Charged First",223.09,1
"Tênis Fila Rt-Low Masculino",237.49,1
"Tênis Mormaii Urban Free Masculino",135.92,1
